County,Facility_Name,Permit_Number,Facility_Type,Facility_Address,Facility_City,Facility_State,Facility_Zip,Dominion,Contact_Name,Contact_Address,Contact_City,Contact_State,Contact_Zip,Manager_Name,Manager_Address,Manager_City,Manager_State,Manager_Zip,Contact_AreaCode,Contact_Phone,Manager_AreaCode,Manager_Phone,Latitude ,Longitude ,Notes
Ben Hill,Fitzgerald-Ben Hill County Regional Solid Waste Management Authority Transfer Station,PBR-009-10TS,TS,544 Camp Brooklyn Rd.,Fitzgerald,GA,31750,Public,Fitzgerald-Ben Hill Landfill,544 Camp Brooklyn Rd.,Fitzgerald,GA,31750,Neal Poole,544 Camp Brooklyn Rd.,Fitzgerald,GA,31750,229,426-5075,229,426-5075,31.74744,-83.19563,
Berrien,Rest EZ Country Waste Pick-Up,PBR-010-11TS,TS,520 Country Farm Rd.,Nashville,GA,31639,Private,Brenda Kaye Ashley,P.O. Box 1027,Nashville,GA,31639,,,,,,229,532-4798,,,31.192145,-83.267887,
Berrien,"Soil Remediation, Inc.",PBR-010-09TS,TS,605 Pauline Ave.,Ray City,GA,31645,Private,"Soil Remediation, Inc.",64 Pauline Ave.,Ray City,GA,31645,Joe Brashier,64 Pauline Ave.,Ray City,GA,31645,229,455-2300,229,455-2300,31.068286,-83.196611,
Bibb,Advanced Disposal Services - Macon Transfer Station,PBR-011-39TS,TS,4291 Interstate Dr.,Macon,GA,31210,Private,Advanced Disposal Services,"9250 Baymeadows Rd., Suite 220",Jacksonville,GA,32256,,,,,,904,636-0699,,,32.829226,-83.73061,
Bibb,Stericycle Biomedical Waste Transfer Station,PBR-011-44TS,TS,4269 Interstate Pkwy.,Macon,GA,31220,Private,"Stericycle, Inc.",1924 Joy Lake Rd.,Lake City,GA,30260,,,,,,404,362-9090,,,32.827984,-83.733625,
Bibb,"Waste Research and Recovery of Macon, Inc. Transfer",PBR-011-25TS,TS,121 & 131 Tuft Springs Rd.,Macon,GA,31201,Private,R. Bear Smith,"6075 The Corners Pkwy., Suite 207",Norcross,GA,30092,,,,,,770,825-0400,,,32.8071,-83.634828,
Bleckley,Bleckley County Solid Waste Transfer Station,PBR-012-04TS,TS,794 Hwy. 26 East,Cochran,GA,31014,Public,Michael A. Polsky,306 SE Second St.,Cochran,GA,31014,,,,,,478,934-3200,,,32.42111,-83.3075,
Brooks,Brooks County,PBR-014-02TS,TS,400 E. Courtland Ave.,Quitman,GA,31643,Public,Hilman Walden,P.O. Box 272,Quitman,GA,31643,,,,,,912,263-8001,,,30.798179,-83.555317,
Bulloch,City of Statesboro Belcher Branch Transfer Station,PBR-016-06TS,TS,50 East Main St.,Statesboro,GA,30458,Public,City of Statesboro,P.O. Box 348,Statesboro,GA,30458,Statesboro Public Works Department,Lakewood Rd.,Statesboro,GA,30458,912,764-5468,912,764-5279,32.48923,-81.78533,
Bulloch,"Allgreen Services, LLC",PBR-016-025COL;TS,TS,4795 US Hwy. 301 South,Register,GA,30452,Private Commercial,William Sullivan,115 Joe Underwood Rd.,Twin City,GA,30471,William Sullivan,,,,,478,763-4178,,,32.327815,-81.877345,
Bulloch,"Drake Disposal Services, Inc. Transfer Station",PBR-016-05TS,TS,US 301 and Akins-Anderson Rd.,Register,GA,30452,Private,,,,,,,,,,,,,,,32.3114,-81.8747,
Burke,Burke County,PBR-017-05TS,TS,804 Clarks Place Rd.,Waynesboro,GA,30830,Public,Burke County Board of Commissioners,P.O. Box 89,Waynesboro,GA,30830,Jesse Burke,804 Clarks Place Rd.,Waynesboro,GA,30830,706,554-2324,706,554-3124,33.08107,-81.96442,
Burke,"Sunbelt Medical Services, Inc. Transfer Station",PBR-017-03TS,TS,639 Vestal Rd.,Sardis,GA,30456,Private,"Sunbelt Medical Services, Inc.",P.O. Box 215,Sardis,GA,30456,,,,,,912,569-4641,,,32.94765,-81.75562,
Butts,Advanced Disposal Service - Jackson Transfer Station,PBR-018-08TS,TS,120 Rodeo Dr.,Jackson,GA,30233,Private,Advanced Disposal Services,,,,,,,,,,,,770,775-1001,33.28552,-83.92904,
