PermitNo,Lat,Long
129-010D(L),32.19185028,-84.15029806
129-011D(SL),32.07035333,-84.27783528
129-012P(INC),32.06666667,-84.275
129-014P(MRF),32.05555556,-84.20388889
130-005D(SL),32.70453944,-84.57044833
130-006D(SL),32.70858306,-84.56879583
131-001D(SL),33.57689417,-82.83164083
131-002D(SL),33.57689417,-82.83164083
131-003D(SL),33.57689417,-82.83164083
132-004D(L),32.18784389,-82.14541222
132-005D(SL),31.92945889,-81.90326889
132-006D(SL),31.951175,-82.14643111
133-002D(SL),32.56694083,-84.22524722
133-003D(SL),32.46226333,-84.37152583
134-002D(LI),31.91777778,-82.68722222
134-009D(SL),31.88992028,-82.90824889
134-012D(LI),31.92055556,-82.67861111
134-013P(RMI),31.92055556,-82.67861111
134-014D(LI),31.92055556,-82.67861111
134-015D(MSWL),31.8902,-82.90823806
135-005D(SL),31.74924972,-84.42121556
136-002D(SL),30.80591167,-83.91274722
136-012D(SL),30.80591167,-83.91274722
136-012D(SL)(3),30.80580222,-83.91265
136-014D(L),30.80591167,-83.91274722
136-015D(SL),30.80580222,-83.91265
136-017D(C&D),30.82138889,-83.91444444
136-018D(MSWL),30.8,-83.90833333
136-019D(LI),31.00083333,-84.07166667
137-007D(SL),31.35783556,-83.53723083
137-007D(SL)(3),31.35777278,-83.53698111
137-008D(L),31.4502375,-83.49839806
137-013P(INC),31.53333333,-83.35638889
137-014D(L),31.44185083,-83.50911306
138-001D(SL),32.14646694,-82.38856583
138-005D(SL),32.14646694,-82.38856583
138-006D(MSWL),32.14646694,-82.38856583
138-007D(C&D),32.14583333,-82.38472222
139-002D(SL),34.92814528,-83.74654056
141-005D(SL),33.00271556,-85.05259806
141-008D(SL),33.03366611,-84.90198667
141-009D(SL),33.18123222,-84.89817306
141-012D(SL),32.91912444,-85.10871222
141-013D(SL),33.04626194,-84.95322167
141-023D(SL),33.03366611,-84.90198667
142-001D(SL),31.73606639,-83.57522639
142-004D(SL),31.73606639,-83.57522639
142-005P(INC),31.74444444,-83.57416667
143-001D(LI),32.7025,-83.55805556
143-004D(LI),32.79833333,-83.47583333
143-005D(SL),32.7278475,-83.31491833
143-007D(LI),32.72083333,-83.39194444
143-008D(SL),32.770535,-83.4378725
143-009D(LI),32.79166667,-83.48333333
144-001D(SL),34.89343194,-83.95828972
145-005D(SL),32.86527833,-84.32688722
145-007D(L),32.96892944,-84.44543333
145-010D(SL),32.83526417,-84.31751806
146-003D(SL),34.83943111,-85.36346389
146-004D(SI),34.79944444,-85.31111111
146-011D(L),34.75953889,-85.37950056
146-011D(LI),34.84111111,-85.38055556
146-013D(L),34.66727278,-85.26768444
146-015D(MSWL),34.83943111,-85.36346389
147-010D(SL),33.83471694,-83.75737417
147-011D(LI),33.775,-83.70833333
147-012D(C&D),33.819546,-83.672677
147-013D(C&D),33.87722222,-83.60055556
147-014D(C&D),33.87694444,-83.60027778
148-003D(SL),31.27028111,-82.46846
148-006D(SL),31.19503583,-82.34736556
148-008D(SL),31.27274444,-82.44459444
148-009D(MSWL),31.27,-82.45
149-008D(SL),33.39890944,-82.67115167
149-009D(LI),33.40888889,-82.64638889
149-010D(LI),33.41388889,-82.64166667
150-006D(SL),32.93544806,-82.8728225
150-007D(LI),33.02583333,-82.88527778
150-008D(LI),32.97305556,-82.82833333
150-009D(LI),33.025,-82.88555556
150-009D(SL),32.93544806,-82.8728225
150-010D(MSWL),32.93544806,-82.8728225
150-012P(INC),32.93333333,-82.875
151-005D(SL),31.66453917,-81.91561611
151-006D(SI),31.64222222,-82.03166667
151-007D(L),31.77228028,-82.01529389
151-008D(L),31.57621611,-81.94876778
151-009D(L),31.54834222,-81.8010875
151-010D(L),31.47649528,-81.98330583
151-011D(L),31.54834222,-81.8010875
151-012D(LI),31.65138889,-81.82777778
151-013P(INC),31.66527778,-81.91527778
151-014D(SL),31.47084583,-81.94114528
151-015D(IN),31.66611111,-81.91194444
152-001D(SL),32.04317167,-84.54661556
152-004P(CO),32.02527778,-84.445
152-005P(CO),32.02527778,-84.445
